crime_type,neighbourhood,year,month,count
Theft from Vehicle,Central Business District,2003,5,624
Theft from Vehicle,Central Business District,2003,8,583
Theft from Vehicle,Central Business District,2003,6,478
Theft from Vehicle,Central Business District,2003,4,474
Theft from Vehicle,Central Business District,2003,7,464
Theft from Vehicle,Central Business District,2003,1,452
Theft from Vehicle,Central Business District,2003,10,446
Theft from Vehicle,Central Business District,2003,12,434
Theft from Vehicle,Central Business District,2003,9,392
Theft from Vehicle,Central Business District,2003,11,381
Theft from Vehicle,Central Business District,2003,3,361
Theft from Vehicle,Central Business District,2003,2,251
Theft from Vehicle,Central Business District,2019,10,612
Theft from Vehicle,Central Business District,2019,9,599
Theft from Vehicle,Central Business District,2019,11,585
Theft from Vehicle,Central Business District,2019,1,579
Theft from Vehicle,Central Business District,2019,7,550
Theft from Vehicle,Central Business District,2019,8,545
Theft from Vehicle,Central Business District,2019,12,536
Theft from Vehicle,Central Business District,2019,5,520
Theft from Vehicle,Central Business District,2019,4,489
Theft from Vehicle,Central Business District,2019,3,485
Theft from Vehicle,Central Business District,2019,2,443
Theft from Vehicle,Central Business District,2019,6,432
Theft from Vehicle,Central Business District,2018,12,565
Theft from Vehicle,Central Business District,2018,11,521
Theft from Vehicle,Central Business District,2018,9,462
Theft from Vehicle,Central Business District,2018,1,460
Theft from Vehicle,Central Business District,2018,4,454
Theft from Vehicle,Central Business District,2018,10,451
Theft from Vehicle,Central Business District,2018,8,440
Theft from Vehicle,Central Business District,2018,6,414
Theft from Vehicle,Central Business District,2018,3,394
Theft from Vehicle,Central Business District,2018,7,392
Theft from Vehicle,Central Business District,2018,2,381
Theft from Vehicle,Central Business District,2018,5,364
Theft from Vehicle,Central Business District,2020,2,524
Theft from Vehicle,Central Business District,2020,1,522
Theft from Vehicle,Central Business District,2020,3,365
Theft from Vehicle,Central Business District,2020,8,224
Theft from Vehicle,Central Business District,2020,10,219
Theft from Vehicle,Central Business District,2020,9,191
Theft from Vehicle,Central Business District,2020,4,190
Theft from Vehicle,Central Business District,2020,11,177
Theft from Vehicle,Central Business District,2020,12,173
Theft from Vehicle,Central Business District,2020,7,171
Theft from Vehicle,Central Business District,2020,6,123
Theft from Vehicle,Central Business District,2020,5,101
Theft from Vehicle,Central Business District,2004,4,495
Theft from Vehicle,Central Business District,2004,8,453
Theft from Vehicle,Central Business District,2004,9,441
Theft from Vehicle,Central Business District,2004,3,424
Theft from Vehicle,Central Business District,2004,7,405
Theft from Vehicle,Central Business District,2004,2,352
Theft from Vehicle,Central Business District,2004,5,340
Theft from Vehicle,Central Business District,2004,10,330
Theft from Vehicle,Central Business District,2004,1,327
Theft from Vehicle,Central Business District,2004,12,311
Theft from Vehicle,Central Business District,2004,11,282
Theft from Vehicle,Central Business District,2004,6,259
Theft from Vehicle,Central Business District,2016,1,446
Theft from Vehicle,Central Business District,2016,5,420
Theft from Vehicle,Central Business District,2016,3,394
Theft from Vehicle,Central Business District,2016,4,383
Theft from Vehicle,Central Business District,2016,10,376
Theft from Vehicle,Central Business District,2016,2,370
Theft from Vehicle,Central Business District,2016,6,366
Theft from Vehicle,Central Business District,2016,7,355
Theft from Vehicle,Central Business District,2016,11,344
Theft from Vehicle,Central Business District,2016,12,334
Theft from Vehicle,Central Business District,2016,8,307
Theft from Vehicle,Central Business District,2016,9,289
Theft from Vehicle,Central Business District,2017,8,430
Theft from Vehicle,Central Business District,2017,11,412
Theft from Vehicle,Central Business District,2017,10,402
Theft from Vehicle,Central Business District,2017,9,398
Theft from Vehicle,Central Business District,2017,3,376
Theft from Vehicle,Central Business District,2017,12,368
Theft from Vehicle,Central Business District,2017,1,349
Theft from Vehicle,Central Business District,2017,4,345
Theft from Vehicle,Central Business District,2017,6,326
Theft from Vehicle,Central Business District,2017,7,324
Theft from Vehicle,Central Business District,2017,5,318
Theft from Vehicle,Central Business District,2017,2,265
Theft from Vehicle,Central Business District,2006,7,422
Theft from Vehicle,Central Business District,2006,12,420
Theft from Vehicle,Central Business District,2006,8,404
Theft from Vehicle,Central Business District,2006,11,392
Theft from Vehicle,Central Business District,2006,6,363
Theft from Vehicle,Central Business District,2006,3,347
Theft from Vehicle,Central Business District,2006,5,339
Theft from Vehicle,Central Business District,2006,9,323
Theft from Vehicle,Central Business District,2006,1,292
Theft from Vehicle,Central Business District,2006,2,291
Theft from Vehicle,Central Business District,2006,10,246
Theft from Vehicle,Central Business District,2006,4,245
Theft from Vehicle,Central Business District,2015,11,405
Theft from Vehicle,Central Business District,2015,12,366
Theft from Vehicle,Central Business District,2015,10,295
Theft from Vehicle,Central Business District,2015,9,264
Theft from Vehicle,Central Business District,2015,1,230
Theft from Vehicle,Central Business District,2015,8,229
Theft from Vehicle,Central Business District,2015,7,229
Theft from Vehicle,Central Business District,2015,2,210
Theft from Vehicle,Central Business District,2015,5,202
Theft from Vehicle,Central Business District,2015,4,183
Theft from Vehicle,Central Business District,2015,6,181
Theft from Vehicle,Central Business District,2015,3,175
Theft from Vehicle,Central Business District,2007,1,396
Theft from Vehicle,Central Business District,2007,5,374
Theft from Vehicle,Central Business District,2007,2,357
Theft from Vehicle,Central Business District,2007,4,352
Theft from Vehicle,Central Business District,2007,3,336
Theft from Vehicle,Central Business District,2007,10,327
Theft from Vehicle,Central Business District,2007,11,311
Theft from Vehicle,Central Business District,2007,12,305
Theft from Vehicle,Central Business District,2007,9,304
Theft from Vehicle,Central Business District,2007,8,289
Theft from Vehicle,Central Business District,2007,6,284
Theft from Vehicle,Central Business District,2007,7,234
Theft from Vehicle,Central Business District,2008,3,388
Theft from Vehicle,Central Business District,2008,9,345
Theft from Vehicle,Central Business District,2008,12,341
Theft from Vehicle,Central Business District,2008,6,340
Theft from Vehicle,Central Business District,2008,8,340
Theft from Vehicle,Central Business District,2008,5,338
Theft from Vehicle,Central Business District,2008,2,332
Theft from Vehicle,Central Business District,2008,10,329
Theft from Vehicle,Central Business District,2008,7,298
Theft from Vehicle,Central Business District,2008,11,282
Theft from Vehicle,Central Business District,2008,1,256
Theft from Vehicle,Central Business District,2008,4,242
Theft from Vehicle,Central Business District,2014,8,372
Theft from Vehicle,Central Business District,2014,9,260
Theft from Vehicle,Central Business District,2014,7,244
Theft from Vehicle,Central Business District,2014,11,243
Theft from Vehicle,Central Business District,2014,2,230
Theft from Vehicle,Central Business District,2014,12,212
Theft from Vehicle,Central Business District,2014,10,205
Theft from Vehicle,Central Business District,2014,5,190
Theft from Vehicle,Central Business District,2014,6,177
Theft from Vehicle,Central Business District,2014,4,177
Theft from Vehicle,Central Business District,2014,3,172
Theft from Vehicle,Central Business District,2014,1,144
Theft from Vehicle,Central Business District,2005,7,366
Theft from Vehicle,Central Business District,2005,5,355
Theft from Vehicle,Central Business District,2005,3,353
Theft from Vehicle,Central Business District,2005,6,345
Theft from Vehicle,Central Business District,2005,9,324
Theft from Vehicle,Central Business District,2005,8,305
Theft from Vehicle,Central Business District,2005,4,302
Theft from Vehicle,Central Business District,2005,12,299
Theft from Vehicle,Central Business District,2005,2,297
Theft from Vehicle,Central Business District,2005,1,296
Theft from Vehicle,Central Business District,2005,11,292
Theft from Vehicle,Central Business District,2005,10,246
Theft from Vehicle,Central Business District,2009,9,364
Theft from Vehicle,Central Business District,2009,2,325
Theft from Vehicle,Central Business District,2009,5,280
Theft from Vehicle,Central Business District,2009,3,280
